Longitude,Latitude,Value
-99.5,73.5,0.1136571460362609
-98.5,73.5,0.112770070071734
-97.5,73.5,0.0633237921974199
-96.5,73.5,0.0073705669503502
-95.5,73.5,0.0663004536770467
-94.5,73.5,0.1065667708535808
-93.5,73.5,0.1130769811652583
-92.5,73.5,0.1239467908226566
-91.5,73.5,0.09591985399462
-90.5,73.5,0.022291741628741
-89.5,73.5,0.0135406644555941
-88.5,73.5,0.0629168666159402
-87.5,73.5,0.0992156837684189
-86.5,73.5,0.0977110746480531
-85.5,73.5,0.1307464663216446
-84.5,73.5,0.090161607621186
-83.5,73.5,0.0408177962658974
-82.5,73.5,0.0018118718467593
-81.5,73.5,0.0085020756239554
-80.5,73.5,0.0029831852714062
53.5,73.5,0.0010424531928823
54.5,73.5,0.0066389662051797
55.5,73.5,0.0107152489657779
56.5,73.5,0.007811197915104
57.5,73.5,0.0019591850530976
69.5,73.5,0.00454201872017
70.5,73.5,0.0360845107145427
71.5,73.5,0.000719375950253
74.5,73.5,0.0015466734229431
80.5,73.5,0.0229796804004168
81.5,73.5,0.0652263824440776
82.5,73.5,0.0744082379843407
83.5,73.5,0.0733296214619996
84.5,73.5,0.0752445378833512
85.5,73.5,0.0795705056045996
86.5,73.5,0.0595486461497797
87.5,73.5,0.0728251973979557
88.5,73.5,0.0875600356869621
89.5,73.5,0.1189496117652212
90.5,73.5,0.1195166269702672
91.5,73.5,0.1203714610332298
92.5,73.5,0.1182999406494427
93.5,73.5,0.1168641450349319
94.5,73.5,0.1147859047445209
95.5,73.5,0.1174196163402848
96.5,73.5,0.0591012580316432
97.5,73.5,0.0502888424203899
98.5,73.5,0.0624738156352847
99.5,73.5,0.0813640966594487
100.5,73.5,0.0947485278015972
101.5,73.5,0.1076181685321753
102.5,73.5,0.1156899571904245
103.5,73.5,0.1158989483079225
104.5,73.5,0.1275831060734249
105.5,73.5,0.1270730628109942
106.5,73.5,0.0778202664007256
107.5,73.5,0.0504141803076124
108.5,73.5,0.0457496652238866
109.5,73.5,0.0505807661408335
110.5,73.5,0.0818400822383864
111.5,73.5,0.033287511341984
112.5,73.5,0.0317539663012914
113.5,73.5,0.0174503787974011
114.5,73.5,0.0257499066246787
115.5,73.5,0.0297106832133335
116.5,73.5,0.0296370656509295
117.5,73.5,0.0257127467681937
118.5,73.5,0.0083320465847221
119.5,73.5,0.0013860260685589
123.5,73.5,0.0052148305952562
124.5,73.5,0.0068472618113224
